code,name,date,open,high,low,close,volume,volume-1,volume-2,volume-3,candle,candle-1,candle-2,candle-3,ma5,dcm-ma5,ma20,dcm-ma20
271980,제일약품,2020-01-03,35150,35600,34700,35100,14818,22327.0,25264.0,29048.0,0.9986,0.9699,1.0042,1.0014,35730.0,0.9824,34665.0,1.0125
001560,제일연마,2020-01-03,7860,7930,7720,7770,84722,150494.0,162879.0,385293.0,0.9885,1.0103,0.9936,1.0075,7908.0,0.9825,7205.5,1.0783
002620,제일파마홀딩스,2020-01-03,17200,17400,16900,16900,7927,3464.0,9202.0,8554.0,0.9826,1.0088,1.0,0.974,17030.0,0.9924,17617.5,0.9593
089590,제주항공,2020-01-03,27250,27250,25500,26550,151541,53984.0,66704.0,88354.0,0.9743,1.0093,0.9926,1.0189,26870.0,0.9881,26090.0,1.0176
018470,조일알미늄,2020-01-03,726,734,726,729,52581,22238.0,24971.0,13261.0,1.0041,0.9973,0.9932,1.0,729.8,0.9989,734.0,0.9932
002600,조흥,2020-01-03,149500,150000,148000,149000,23,16.0,33.0,63.0,0.9967,1.0,1.0,0.9967,149900.0,0.994,148825.0,1.0012
071320,지역난방공사,2020-01-03,47350,47600,47200,47500,2476,3576.0,4810.0,4881.0,1.0032,0.9989,0.9834,0.9927,47650.0,0.9969,48222.5,0.985
088790,진도,2020-01-03,3715,3835,3715,3750,4737,5655.0,7819.0,17701.0,1.0094,0.9973,1.0014,0.9749,3727.0,1.0062,3728.5,1.0058
109070,컨버즈,2020-01-03,2530,2530,2445,2465,236442,308524.0,199043.0,279544.0,0.9743,1.0481,0.9834,0.9718,2434.0,1.0127,2412.75,1.0217
007810,코리아써키트,2020-01-03,12150,12500,12000,12000,431229,378657.0,424992.0,634270.0,0.9877,0.9917,1.0482,1.0314,11730.0,1.023,11077.5,1.0833
192820,코스맥스,2020-01-03,85600,85600,81400,81500,131685,123691.0,51852.0,47259.0,0.9521,1.0514,1.0217,0.9975,80480.0,1.0127,79570.0,1.0243
120110,코오롱인더,2020-01-03,50000,50000,49200,49250,71943,56107.0,67994.0,69183.0,0.985,0.992,1.0081,1.0,49420.0,0.9966,48807.5,1.0091
138490,코오롱플라스틱,2020-01-03,4435,4480,4435,4480,43578,31276.0,18546.0,30155.0,1.0101,0.9922,1.0079,1.0068,4468.0,1.0027,4377.75,1.0234
020120,키다리스튜디오,2020-01-03,4105,4140,3975,3995,48807,136272.0,67944.0,219740.0,0.9732,1.0288,1.0346,1.0456,3939.0,1.0142,3850.75,1.0375
003240,태광산업,2020-01-03,1079000,1086000,1066000,1079000,791,1294.0,525.0,691.0,1.0,0.9991,1.0144,0.9943,1061400.0,1.0166,1020400.0,1.0574
004100,태양금속공업,2020-01-03,1430,1645,1415,1495,20559688,1896340.0,4121192.0,3842857.0,1.0455,1.0,1.0634,0.9643,1420.0,1.0528,1286.0,1.1625
003670,포스코케미칼,2020-01-03,49550,50700,49450,49850,485690,379324.0,662249.0,342140.0,1.0061,0.996,1.0314,1.0304,48400.0,1.03,47677.5,1.0456
033180,필룩스,2020-01-03,7740,7890,7660,7730,3645672,2407556.0,3364000.0,4122480.0,0.9987,0.9974,1.0243,1.038,7492.0,1.0318,7616.0,1.015
039130,하나투어,2020-01-03,53000,53800,52300,52800,108320,94327.0,80470.0,96698.0,0.9962,1.0333,0.9942,1.0198,51720.0,1.0209,49910.0,1.0579
006200,한국전자홀딩스,2020-01-03,727,737,719,733,59636,28351.0,38843.0,95122.0,1.0083,0.9905,1.0,1.0292,732.4,1.0008,722.85,1.014
002300,한국제지,2020-01-03,17150,17350,17000,17050,16807,6088.0,11246.0,1468.0,0.9942,1.0147,0.9884,1.0146,17180.0,0.9924,17045.0,1.0003
009540,한국조선해양,2020-01-03,126500,131000,126000,129500,327820,85564.0,96061.0,166789.0,1.0237,0.9843,1.0,1.008,126500.0,1.0237,124425.0,1.0408
023350,한국종합기술,2020-01-03,3985,4000,3960,3985,18625,15992.0,13627.0,39694.0,1.0,1.0153,1.0077,0.9837,3948.0,1.0094,3949.75,1.0089
104700,한국철강,2020-01-03,4770,4795,4720,4750,29011,28446.0,46235.0,55570.0,0.9958,1.0106,0.9895,0.9917,4787.0,0.9923,4781.25,0.9935
168490,한국패러랠,2020-01-03,2240,2240,2235,2240,621,10901.0,8086.0,40432.0,1.0,1.0022,1.0,1.0022,2241.0,0.9996,2249.5,0.9958
060980,한라홀딩스,2020-01-03,44850,46200,44850,45900,23314,20778.0,14858.0,36226.0,1.0234,0.9945,1.0121,1.0056,45920.0,0.9996,46680.0,0.9833
128940,한미약품,2020-01-03,298500,299000,293500,296500,30722,30812.0,50580.0,166626.0,0.9933,0.9916,1.0224,1.0511,295100.0,1.0047,298272.95,0.9941
105630,한세실업,2020-01-03,17400,17500,17150,17250,162522,115453.0,116848.0,92844.0,0.9914,1.0058,0.9943,1.0058,17340.0,0.9948,17095.0,1.0091
009180,한솔로지스틱스,2020-01-03,1550,1590,1535,1545,566320,436281.0,501838.0,907369.0,0.9968,1.0065,0.9777,1.0128,1553.0,0.9948,1430.25,1.0802
002220,한일철강,2020-01-03,2025,2035,2010,2025,13727,4427.0,6411.0,3758.0,1.0,0.9975,1.0,1.0,2028.0,0.9985,2043.5,0.9909
006390,한일현대시멘트,2020-01-03,30250,30950,30000,30250,7994,16708.0,8385.0,5968.0,1.0,0.9934,1.0016,0.9919,30440.0,0.9938,30620.0,0.9879
002320,한진,2020-01-03,30000,30300,29750,29850,73475,65766.0,212020.0,147887.0,0.995,0.9967,0.9724,0.9966,29860.0,0.9997,30245.0,0.9869
009460,한창제지,2020-01-03,2945,2975,2900,2905,2507510,2944424.0,1453293.0,1539983.0,0.9864,0.9917,1.0116,0.9901,2993.0,0.9706,2961.0,0.9811
027390,한화갤러리아타임월드,2020-01-03,23450,23450,23050,23300,2385,1348.0,1788.0,2194.0,0.9936,0.9957,0.9979,0.9957,23310.0,0.9996,24985.0,0.9326
088350,한화생명,2020-01-03,2295,2310,2280,2280,1369439,1549036.0,1379228.0,1523863.0,0.9935,0.9892,0.9872,1.0,2320.0,0.9828,2314.5,0.9851
000720,현대건설,2020-01-03,41350,41550,40900,41000,481589,542387.0,272369.0,382901.0,0.9915,0.9763,1.0,0.9953,41920.0,0.9781,42092.5,0.974
267270,현대건설기계,2020-01-03,31300,31750,30650,30850,96019,129838.0,36752.0,54054.0,0.9856,1.0535,0.9755,1.0017,30640.0,1.0069,29575.0,1.0431
012330,현대모비스,2020-01-03,249000,250500,244500,250000,255401,214585.0,106749.0,106529.0,1.004,0.9725,0.9827,0.9981,254400.0,0.9827,256475.0,0.9748
