,2011/02,2011/02,2011/02,2011/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/12,2014/12,2014/12,2014/12,2015/02,2015/02,2015/02,2015/02,2015/06,2015/06,2015/06,2015/06,2015/07,2015/07,2015/07,2015/07,2015/08,2015/08,2015/08,2015/08,2015/09,2015/09,2015/09,2015/09,2015/11,2015/11,2015/11,2015/11,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/03,2016/03,2016/03,2016/03,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,,,,,,,,
A251970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,,펌텍코리아,플라스틱제품 제조업,화장품 용기,2019-07-04,12월,"이재신, 이도훈",http://www.pum-tech.co.kr,인천광역시
A252370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,,12.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92,,,17.70,,,,,,,,,,,,,,,,,,,,,,,,,유쎌,기타 화학제품 제조업,바이오셀룰로오스 마스크팩,2016-09-29,12월,차재영,http://www.youcel.co.kr,전라북도
A252500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,52.37,148.79,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,14.06,22.07,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,25.48,50.20,2.00,,,,,,,,,,,,,,,,,,,,,,,,,세화피앤씨,기타 화학제품 제조업,염모제 등,2016-11-02,12월,이훈구,http://www.sewha.co.kr,충청북도
A253450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,22.64,61.86,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46,23.32,72.30,6.82,,,,,,,,,,,,,,,,,,,,,4.46,,,,스튜디오드래곤,"영화, 비디오물, 방송프로그램 제작 및 배급업","드라마 제작, 판매",2017-11-24,12월,최진희,http://www.studiodragon.net,서울특별시
A253590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,네오셈,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 검사장비,2018-04-04,12월,염동현,http://www.neosem.com,경기도
A253840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81,,,42.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89,,,27.20,,,,,,,,,,,,,,,,,,,,,2.64,,,,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019-05-28,12월,손미진,http://www.sugentech.com,대전광역시
A254120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47,52.41,119.57,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,25.06,95.26,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,48.22,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,자비스,특수 목적용 기계 제조업,기업인수합병,2016-12-02,12월,김형철,,경기도
A255220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,10.88,13.55,0.96,,,,,,,,,,,,,,,,,,,,,1.33,,,,SG,기타 비금속 광물제품 제조업,"아스콘, 레미콘",2018-01-26,12월,박창호,http://sgholdings.co.kr,인천광역시
A255440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,17.94,19.60,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,5.37,5.62,1.10,,,,,,,,,,,,,,,,,,,,,2.30,,,,야스,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",2017-09-29,12월,정광호,http://www.yasoled.com,경기도
A256150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한독크린텍,일반 목적용 기계 제조업,정수기 필터,2019-09-05,12월,"고인선, 이광규",http://hdctech.co.kr,대전광역시
A256630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,11.07,16.47,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,7.89,11.19,2.00,,,,,,,,,,,,,,,,,,,,,1.86,,,,포인트엔지니어링,기타 금속 가공제품 제조업,디스플레이 및 반도체 장비 부품,2017-05-02,12월,안범모,http://www.pointeng.co.kr,충청남도
A256840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.59,158.47,228.16,30.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,83.52,200.67,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05,28.76,36.01,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.19,31.44,42.77,6.54,,,,,,,,,,,,,,,,,,,,,,,,,한국비엔씨,기초 의약물질 및 생물학적 제제 제조업,필러 등 생체재료의료물질 개발,2016-12-28,12월,최완규,http://www.bnckorea.co.kr,대구광역시
A256940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,5.29,7.60,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,17.85,22.37,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,4.59,4.93,0.83,,,,,,,,,,,,,,,,,,,,,1.93,,,,케이피에스,특수 목적용 기계 제조업,OLED 마스크 인장기,2017-09-06,12월,김정호,http://www.kpscorp.co.kr,경기도
A257370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,46.77,54.95,2.41,,,,,,,,,,,,,,,,,,,,,2.26,,,,명성티엔에스,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비",2018-09-13,12월,권태욱,http://www.ms-mc.co.kr,대구광역시
A258050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.61,,,186.65,,,,,,,,,,,,,,,,,,,,,,,,,테크트랜스,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션,2018-07-13,12월,유재용,http:// techtrans.co.kr,경상북도
A258250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,21.28,33.33,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,14.05,24.45,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.20,34.97,67.57,4.96,,,,,,,,,,,,,,,,,,,,,,,,,셀젠텍,소프트웨어 개발 및 공급업,"C-Manager, LabBio+, S-Keeper",2016-12-13,12월,김회율,http://cellgentek.co.kr,충청북도
A258540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.44,,,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.18,,,19.48,,,,,,,,,,,,,,,,,,,,,,,,,스템랩,자연과학 및 공학 연구개발업,"줄기세포치료제, 화장품, 전자의료기기 등",2016-11-29,12월,오동훈,http://www.stemlab.co.kr,서울특별시
A258610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,25.86,52.73,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,8.20,10.50,1.27,,,,,,,,,,,,,,,,,,,,,2.63,,,,이더블유케이,"구조용 금속제품, 탱크 및 증기발생기 제조업","지열발전설비(열수기화기, 응축기 등)",2017-08-22,12월,최종혁,http://www.ewkinc.co.kr/,부산광역시
A258790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,341.19,,,,,,,,,,,,,,,,,,,,,,,,,,케이비제11호스팩,금융 지원 서비스업,기업인수 및 합병,2017-04-27,12월,배환국,,경기도
A258830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,14.20,17.73,4.53,,,,,,,,,,,,,,,,,,,,,1.23,,,,세종메디칼,의료용 기기 제조업,복강경수술용 투관침 등,2018-05-29,12월,정현국,http://www.sejongmedical.com,경기도
A259630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,16.80,18.49,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,39.62,54.67,1.11,,,,,,,,,,,,,,,,,,,,,2.06,,,,엠플러스,특수 목적용 기계 제조업,이차전지 자동화 조립설비,2017-09-20,12월,김종성,http://www.mplusi.co.kr,충청북도
A260660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,46.98,94.36,1.21,,,,,,,,,,,,,,,,,,,,,,,,,알리코제약,의료용품 및 기타 의약 관련제품 제조업,완제 의약품,2018-02-12,12월,최재희,http://www.arlico.co.kr,서울특별시
A260870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,,,1.30,,,,,,,,,,,,,,,,,,,,,,,,,시그넷이브이,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기차 충전기,2017-08-30,12월,-,http://www.signetev.com,전라남도
A260930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,19.82,20.67,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,23.53,26.64,1.92,,,,,,,,,,,,,,,,,,,,,0.84,,,,씨티케이코스메틱스,기타 화학제품 제조업,완제 화장품 (색조 및 기초),2017-12-07,12월,"정인용, 최선영 공동대표",http://ctkcosmetics.com,경기도
A260970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,5.88,10.56,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,3.19,4.12,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,23.42,33.07,2.92,,,,,,,,,,,,,,,,,,,,,,,,,에스앤디,기타 식품 제조업,그릴치킨농축액 외,2016-12-29,12월,여경목,http://www.isnd.co.kr,충청북도
A261200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,269.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,114.08,,,,,,,,,,,,,,,,,,,,,,,,,,하나금융9호스팩,금융 지원 서비스업,기업 인수합병,2017-06-26,12월,윤상우,,서울특별시
A263020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,5.83,7.58,0.52,,,,,,,,,,,,,,,,,,,,,0.97,,,,디케이앤디,플라스틱제품 제조업,합성피혁 및 부직포,2018-11-20,12월,최민석,http://www.dknd.co.kr,경기도
A263050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,,,1415.94,,,,,,,,,,,,,,,,,,,,,5.57,,,,유틸렉스,기초 의약물질 및 생물학적 제제 제조업,"면역항암 세포치료제, 면역항암 항체치료제",2018-12-24,12월,권병세,http://www.eutilex.com,서울특별시
A263540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,20.36,73.96,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,34.95,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,샘코,"항공기,우주선 및 부품 제조업",도어시스템,2017-09-15,12월,이재학,http://www.samcokorea.com,경상남도
A263600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,6.42,8.70,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,12.98,,0.74,,,,,,,,,,,,,,,,,,,,,0.97,,,,덕우전자,전자부품 제조업,카메라 모듈 부품,2017-08-28,12월,"이준용, 우수택 (각자 대표이사)",http://www.derkwoo.com,경상북도
A263690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,13.17,14.68,1.21,,,,,,,,,,,,,,,,,,,,,2.65,,,,디알젬,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외",2018-11-22,12월,박정병,http://www.drgem.co.kr,경기도
A263700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,23.62,31.63,2.07,,,,,,,,,,,,,,,,,,,,,1.29,,,,케어랩스,소프트웨어 개발 및 공급업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션",2018-03-28,12월,박경득,http://carelabs.co.kr,서울특별시
A263720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,15.91,15.94,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,34.34,34.65,5.18,,,,,,,,,,,,,,,,,,,,,4.01,,,,디앤씨미디어,"서적, 잡지 및 기타 인쇄물 출판업",웹소설 콘텐츠,2017-08-01,12월,신현호,http://www.dncmedia.co.kr,서울특별시
A263750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,17.36,17.93,6.49,,,,,,,,,,,,,,,,,,,,,4.54,,,,펄어비스,소프트웨어 개발 및 공급업,온라인 게임 개발 서비스(검은사막),2017-09-14,12월,정경인,http://www.pearlabyss.com/,경기도
A263770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,8.55,11.61,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,44.63,110.40,2.53,,,,,,,,,,,,,,,,,,,,,,,,,유에스티,1차 철강 제조업,스테인레스강관,2017-04-06,12월,김종식,http://www.u-st.co.kr,경상북도
A263800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,14.89,60.73,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,데이타솔루션,기계장비 및 관련 물품 도매업,"EMC스토리지, SPSS, SI",2017-08-03,12월,배복태,http://www.datasolution.kr,서울특별시
A263810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,14.08,15.39,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,21.47,27.32,0.65,,,,,,,,,,,,,,,,,,,,,1.31,,,,상신전자,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)",2017-10-16,12월,김승천,http://www.sangshin-e.com,경상남도
A263860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,14.35,15.65,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,16.26,18.75,2.31,,,,,,,,,,,,,,,,,,,,,1.27,,,,지니언스,소프트웨어 개발 및 공급업,네트워크 접근 제어 솔루션(NAC),2017-08-02,12월,이동범,http://www.genians.co.kr/,경기도
A263920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,34.15,48.28,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,245.01,,5.15,,,,,,,,,,,,,,,,,,,,,1.34,,,,블러썸엠앤씨,그외 기타 제품 제조업,"화장용 스펀지, 퍼프",2017-09-28,12월,"이종국, 지영주 (각자 대표이사)",http://www.snpworld.com,인천광역시
A264450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,9.80,10.94,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,11.76,13.05,2.04,,,,,,,,,,,,,,,,,,,,,,,,,유비쿼스,통신 및 방송 장비 제조업,"스위치, FTTH",2017-03-31,12월,이상근,http://www.ubiquoss.com,경기도
A264660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,4.62,4.87,0.55,,,,,,,,,,,,,,,,,,,,,,,,,씨앤지하이테크,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치",2018-01-25,12월,홍사문,http://www.cnghitech.com,경기도
A264850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,830.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,253.69,,,,,,,,,,,,,,,,,,,,,,,,,,IBKS제6호스팩,금융 지원 서비스업,,2017-06-01,12월,심재귀,,인천광역시
A264900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,8.60,13.54,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,5.25,9.04,0.32,,,,,,,,,,,,,,,,,,,,,,,,,크라운제과,기타 식품 제조업,"비스킷, 스낵, 당과",2017-04-11,12월,장완수,http://www.crown.co.kr,서울특별시
A265480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,350.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,255.94,,,,,,,,,,,,,,,,,,,,,,,,,,미래에셋대우스팩1호,금융 지원 서비스업,기업인수합병,2017-05-26,12월,장병태,,서울특별시
A265520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,19.33,27.62,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,8.81,13.14,0.46,,,,,,,,,,,,,,,,,,,,,3.85,,,,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도
A265560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,10.94,14.61,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,10.43,15.56,1.13,,,,,,,,,,,,,,,,,,,,,1.36,,,,영화테크,자동차 신품 부품 제조업,자동차 정션박스 등,2017-10-26,12월,엄준형,http://www.yhtec.com,충청남도
